Time,Asset,Original Direction,Final Direction,Action Taken,Trade Status,Result Amount
2026-01-03 19:53:46,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 03:07:26,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 04:08:55,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 04:14:52,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 04:16:40,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 04:22:22,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 04:41:58,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 04:45:27,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-04 04:55:57,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 05:19:06,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-04 05:25:38,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-04 05:29:25,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 05:36:06,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 05:45:16,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 05:56:33,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 06:02:41,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 06:29:58,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 06:40:30,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 06:52:55,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-04 07:09:12,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 07:23:06,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-04 07:27:12,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,WON,True
2026-01-04 07:35:10,USDARS_otc,CALL,CALL,No rule for asset USDARS_otc; using original direction.,LOST,False
2026-01-04 07:41:37,USDARS_otc,PUT,PUT,No rule for asset USDARS_otc; using original direction.,LOST,False
